names,ratings,cuisine
Punjab National Hotel-PNH,4,"Mughlai, North Indian"
Mast Kalandar The Kitchen,4.1,"North Indian, Rajasthani, Fast Food, Street Food"
Masala Republic,4.2,"North Indian, Continental, Healthy Food, Fast Food, Burger, Pasta, Beverages, Desserts"
Punjabi Rasoi,4.3,North Indian
Shiv Shakti Jodhpur Sweets,4.2,"Mithai, Street Food"
Indulge Ice Cream By Almond House,4,"Desserts, Ice Cream"
Juice Express,-,"Juices, Healthy Food"
Homely Meals And Curries Center,-,Mughlai
Bai Ji Ka Choka,4,South Indian
Amrit Juice Centre,3.9,"Beverages, Juices, Shake"
Amma Special Food,4,South Indian
Gayathri Bhavan,4,"South Indian, North Indian, Chinese"
Desi Food Zone,-,"Maharashtrian, Fast Food, Chinese, North Indian, Bakery, Mithai, Desserts"
TCS The Cake Story,4,Bakery
Gladiator Nutrition And Food,4,"Fast Food, Healthy Food, Beverages"
Biryani House,3.4,"North Indian, Fast Food, Desserts"
Ae Spice Villa,3.7,"North Indian, Fast Food"
Nue Cafe,3.9,"Cafe, Bakery, Pizza, Italian, Healthy Food, Tea"
As Bakers,4.1,"Bakery, Desserts"
Tasty Guru,4,"South Indian, Chinese"
1 Kg Curries,-,South Indian
Brista Restaurant,3.9,"Chinese, North Indian, Biryani, Mughlai, Sichuan, Shawarma"
Hussain's Food Court,-,"Chinese, South Indian"
The Favorite Biryani And Shawarma,3.2,"Biryani, Chinese, Shawarma"
Zorro - Milkshakes And Thickshakes,3.5,"Shake, Beverages"
Bhagyalaxmi Tiffin Centre,4,South Indian
Juice And Sandwich Point,4.1,"Beverages, Sandwich, Juices, Salad, Healthy Food, Shake"
Shahi Zaiqa,3.8,Hyderabadi
Tempteas,3.6,"Fast Food, Street Food, Ice Cream, Beverages"
The Kulfi Falooda Project,3.1,Ice Cream
Shawarma Station,3.6,"Fast Food, Shawarma"
Sundae Everyday Ice Creams,3.8,"Ice Cream, Desserts, Shake"
Mohammedi Confectioners,4.1,Mithai
The Pork Affair,4.3,"South Indian, Biryani"
I-Creamy Cafe,3.7,"Fast Food, Sandwich, Ice Cream, Beverages, Shake"
Shake Studio,3.7,"Beverages, Fast Food, Shake, Waffle"
Royal Biryani & Kababs,3.7,"North Indian, Chinese, Biryani"
Sri Krishna Sweets,4.7,Mithai
The Health Bowl,3.1,"Healthy Food, Beverages, Shake"
Dosa Express,4.1,South Indian
N Village Restaurant,4.2,"Chinese, North Indian, Mughlai"
Cocoworks,3.9,Beverages
Cravings Cafe,4,"Cafe, Pizza, Fast Food"
Krishna Idli's & Dosa's,3.9,"South Indian, Pizza"
FNP Cakes And More,4,Bakery
Hassan Grand Restaurant,3.8,"Chinese, South Indian, North Indian, Mughlai, Street Food, Biryani"
Aroma Food Court,4,"South Indian, Chinese"
Cafe Aroha,3.2,"Pizza, Burger, Fast Food"
Cake Krejoi,4,"Bakery, Desserts, Shake"
Bhaijaan's Avenue Multi cuisine Restaurant,New,"Fast Food, Chinese, North Indian, Biryani, Mughlai, Beverages"
Green Park Hotel,-,Hyderabadi
100 Rakhala Inti Bojanam,-,"Street Food, Andhra"
"Gongura Pappu,Tomato Appu,Palakura Pappu 100 curries",3.5,South Indian
Sri Balaji Sweets,3.9,"Mithai, Street Food"
D Lounge- Tea Shakes And Snacks,3.8,"Beverages, Shake, Tea, Juices, Street Food"
Frykiki,3.4,"Cafe, Fast Food, Chinese, Beverages"
Roobaroo Cafe,4.3,"Cafe, Continental, Fast Food, Desserts, Beverages"
Sri Balaji Mithai Bhandar,3.9,Mithai
Tea Time,4,"Beverages, Tea"
Cakes & Pastries,3.9,"Bakery, Desserts"
Heritage Ice Creams,-,Ice Cream
Star Paan Shop,4.3,"Paan, Ice Cream"
Raju Rani Inti Ruchulu,-,Mughlai
Saleem Stores The Pan Parlour,4.3,Paan
Shresta Ruchi Food Court,3.6,"Chinese, South Indian, North Indian"
GetAWhey - Healthy Ice Creams,4,Ice Cream
The Wrap Co.,3.7,"Wraps, Rolls, Fast Food, Desserts, Beverages"
Cakes 99,3.9,"Bakery, Desserts"
New Agra Sweets,4.4,"Mithai, Desserts"
Kohinoor Restaurant,-,"North Indian, Chinese, Seafood"
Bombay Bar & Restaurant,3.8,"North Indian, Chinese, Seafood"
Sri Bhanu Tiffin Center,4,"Andhra, Hyderabadi"
Milan Bakery,3.5,Bakery
Occasionkart Cakes,4.1,"Bakery, Desserts, Pizza, Sandwich, Burger, Fast Food"
Cakes Den,3.5,"Bakery, Desserts, Ice Cream"
Govind Di Maggie,3.8,Fast Food
Jai Balaji Mithai Bhandar,-,"Mithai, Street Food"
Cakes Papaji,3.2,"Bakery, Desserts"
Sri Sai Bakery,4.1,"Bakery, Desserts, Fast Food, Beverages"
Patel's Chips & Crisps,4.3,Street Food
Badam And Kaju Ki Jali ( The Imperial Sweet House),4.4,Mithai
Angel Bakers,4.2,"Bakery, Desserts"
Sri Balaji Papalal Mithai Bhandar,4.3,"Mithai, Street Food"
US Live Pops,4.6,Fast Food
Havmor,4,"Ice Cream, Desserts, Beverages"
Famous Fried Chicken,4,"North Indian, Fast Food, Wraps, Desserts, Shake"
Govi's Organic Foods,3.9,Mithai
Heavenly Biryani,-,"Biryani, Beverages"
Cake 24x7,3.6,"Bakery, Desserts"
Lassi & Falooda Co.,3.2,Beverages
Homely Kitchen,3.8,"North Indian, Fast Food, Desserts"
Kitchen Maha Raja,3.7,"North Indian, Fast Food, Desserts"
Aaromale,3.9,"Cafe, Mexican, Italian, Pizza, Coffee, Tea, Desserts, Burger"
Special Cakes,3.7,"Bakery, Desserts"
Flavours Curated By ITC Kakatiya,4.1,"North Indian, Mughlai, Biryani"
Eggsplode,3.9,"Healthy Food, Fast Food, Beverages"
Burger Hub's,3.6,"Burger, Fast Food, Desserts"
Sitara Foods,4.1,South Indian
The Sandwich Story,3.1,"Sandwich, Beverages"
24/7 Gallery Café - Hyatt Place,3.4,"Beverages, North Indian, Asian, Continental, Sichuan, Waffle"
Sree Sai Satyanarayana Mithai Bhandar,4.2,"Mithai, Street Food, Desserts"
Ironhill Cafe,2.8,"Cafe, Beverages, Coffee, Shake, Tea, Bubble Tea, Pancake"
Balaji Mithai Wala & Chat,3.7,"Mithai, Street Food"
Wild Fries And Corn,4.1,"Fast Food, Shake, Beverages, Sichuan"
Chai Amruth,4,Beverages
Shero Home Food - Andhra,New,"South Indian, Andhra"
The Kadak Dosa,4,"Beverages, South Indian"
Small Mixed Rice Veg Non Veg,-,"South Indian, North Indian"
Mini Box House Of Curries,-,South Indian
Turkish Shawarma And Burgers,3.6,"Fast Food, Shawarma"
Fresco Grillicious & Broasted,-,"Lebanese, Wraps, Burger, Fast Food, Desserts, Shawarma"
Smiley Mohan Fast Food,4,"Fast Food, Chinese, Sichuan"
Chai Chowrasta,-,"Fast Food, Beverages"
Food Adda,3.8,"Fast Food, Sandwich, Pizza, Burger, Beverages, Waffle, Tea, Coffee"
Chai And More,New,"Fast Food, Shake, Beverages"
Star Rotis And Catering Service,-,North Indian
Tiffin Point,-,South Indian
Dream Dessert Ice Cream,-,"Ice Cream, Desserts"
Ganga Rambhabu Currypoint And Mess,-,South Indian
Kings Food Court,-,"North Indian, Chinese, Sichuan"
Bagara Rice Meals Center,-,"Andhra, Hyderabadi"
Cafe Marka,-,"Continental, Italian, American, Cafe, Beverages"
Kiran Tiffin Centre,-,South Indian
Paradise Bakery - By Paradise Biryani,-,"Bakery, Desserts"
Amogh Multicuisine Restaurant,-,"Biryani, South Indian"
Kulfi Nation,4,"Ice Cream, Desserts, Cafe"
Hunger Langar,3.7,"Fast Food, Burger, Pizza, Sandwich"
Sambhar Bhojanam Mess,-,"South Indian, North Indian"
Jk Tiffins,3.3,South Indian
Veg And Non Veg Curry Bazar,-,South Indian
Hangout,-,"Biryani, Chinese, Shake"
20 Curries Meals,-,"South Indian, North Indian"
Fryed Wings,3.2,"Fast Food, Roast Chicken"
Dosa Street,3.3,South Indian
Cost To Cost Curry Point,-,South Indian
Cakes 07,4,"Bakery, Desserts"
Non Veg  And Veg Bojanam,-,"Andhra, Street Food"
Chapathi And Pulka Center,3,"South Indian, Street Food"
Office Box Meals ( Veg And Non Veg),-,South Indian
Exotic Fruit Bowl,4,Healthy Food
Nice Tiffins,3.7,South Indian
Amma Chapathi Pulkha Roti Point,-,South Indian
New Rajasthan Chat Bhandar,3.6,Street Food
Ice n Spice - Hotel Inner Circle,3.5,"North Indian, Chinese, Ice Cream, Continental, Desserts, Beverages, Shake"
Telugu Vari Inti Ruchulu,-,South Indian
Smoodies,-,Beverages
Sri Shagun Mithai Vatika,4.5,Mithai
Healing Rice Bowls,-,"North Indian, South Indian"
Sri Ganesh Tiffins,4,South Indian
Quench Paan & Smoothies,4.4,"Paan, Beverages, Street Food, Fast Food"
Teacher’s Kitchen & Food,3.5,"Lebanese, Sandwich, Burger"
Bullet Bandi Curry Point,-,"South Indian, North Indian"
INOX,-,"Fast Food, Street Food"
New Shahi Naan,4.3,North Indian
Really Homely Foods Hotel,-,South Indian
Cakes Temptations,2.9,"Bakery, Desserts"
V Cafe- Meals By PVR,4,"Burger, Sandwich, Fast Food"
Cravery Cafe,4,"Cafe, Continental, Fast Food, Salad, Healthy Food, Shake, Coffee, Desserts"
Hotel Rajdhani,4,"South Indian, North Indian, Chinese, Beverages, Desserts"
Ofen,4.2,"Cafe, Coffee, Sandwich, Italian, Mexican, Pasta, Fast Food"
Bakers 'S' Treat,3.5,"Bakery, Fast Food, Chinese, Beverages, Desserts, Sichuan, Pizza"
Mana Inti Ruchulu,3.3,"South Indian, Andhra"
Cakes Hub,3.7,Bakery
Myfroyoland,3.8,"Frozen Yogurt, Desserts"
Jai Bhavani Tiffin Center,4.2,South Indian
Italian Express,4,"Chinese, Fast Food, Pizza, Pasta, Italian"
Barista,3.6,"Cafe, Coffee, Beverages, Fast Food"
Sri Ramakrishna Reddy Pure Ghee Sweets,-,Mithai
Zaika Bites,3.6,Fast Food
Chandni Chowk,3.5,"Street Food, North Indian, Fast Food"
Alfa Sweets,3.8,"Mithai, Desserts"
MG Point Fast Food,-,"Fast Food, North Indian, Chinese"
Eggiz - For Egg Lovers,3.2,"South Indian, Street Food, Fast Food, Chinese"
The Rotii Makers Street,3.8,"Andhra, South Indian"
Babai Express,3.1,South Indian
Creamy N Creamy Ice Stone,3.6,"Desserts, Ice Cream, Fast Food, Shake, Beverages, Waffle"
Jalebiwalas Mithai Bhandar,4,"Mithai, Street Food, Desserts"
V Cafe @ Citadel By Vinnca,-,"North Indian, Chinese, Fast Food"
D-Lite Shakes & Snacks,3.8,"Beverages, Momos, Shake, Street Food, Fast Food"
Break The Bread - Sandwiches And Burgers,4.1,"Fast Food, Beverages, Shake"
Truffle Tower,-,"Cafe, European, Italian, Pizza, Burger, Waffle, Tea, Coffee"
FullFills,3.7,"Cafe, Healthy Food, Continental, Lebanese, Italian, Beverages, Shake, North Indian"
7th Heaven,3.7,"Bakery, Fast Food, Beverages, Ice Cream, Desserts, Shake, Pizza, Waffle"
HKGN Chat Bhandar,3.8,Street Food
The Gallery Cafe,4,"Cafe, Continental"
Mr Chaibaaz,4,"Fast Food, Tea"
Saravana Udupi Hotel,3.9,South Indian
Jupiters Neelam Bar & Restaurant,-,"North Indian, Chinese"
Empala Hotel,3.5,Lebanese
Balaji Vishnu Sweet House,4,"Mithai, Street Food, Tea"
Verandah - The Park,3.7,"North Indian, Continental, Chinese, Desserts, Oriental, Biryani, Beverages"
Arabian Shawarma Adda,3.6,"Middle Eastern, Shawarma"
Jai Bhavani Spicy Hut fast food & Tiffins,4,"Chinese, Sichuan"
Mataam Al Hind,3.7,"Arabian, Mandi"
PopKing Popcorn,4,Fast Food
Milkshakes Hub n More,4.2,"Beverages, Shake, Burger"
Sip'R Slurp,3.6,"Beverages, Shake"
Old Mumbai Ice Cream,4.3,"Ice Cream, Desserts, Shake, Beverages"
Mimee's Chocolates,4.6,Desserts
Rich Cake Wala,3.5,"Bakery, Desserts"
Brownie Heaven,4,"Desserts, Ice Cream"
ZUCI - Artisanal Chocolates & Cafe,4.2,"Cafe, Fast Food, Continental, Beverages, Desserts, Bakery, Shake, Tea"
Rice Plus Plus,2.6,"Healthy Food, North Indian, Italian"
Nature's Spirit,2.9,"Healthy Food, Sandwich, Beverages"
Quality Shawarma,-,"Bakery, Shawarma"
Quality Cakes,3.8,"Bakery, Desserts"
Best Burgers,3.4,"Pizza, Burger, Fast Food"
Cakes 07,4.2,"Bakery, Desserts, Beverages"
Potful - Claypot Biryanis,4.1,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages"
The Burger Life,3.1,"Fast Food, Burger"
Dairy Den,4.3,"Ice Cream, Desserts"
Alfa Bakery,4,Bakery
Enchanté Café & Confectionery,3.7,"Cafe, Italian, Continental, Burger, Fast Food, Desserts, Beverages, Pizza"
Hydrate The Bar - Hampshire Plaza,-,"North Indian, Chinese, Beverages, Biryani, Desserts, Sichuan"
Eat Subs,-,"Fast Food, Desserts"
Sri Balaji Mithai Bhandar,4.3,"Mithai, Street Food"
Ek Pyali Chai,3.6,"Fast Food, Street Food, Tea, Beverages, Coffee"
Cakes99,3.8,"Bakery, Desserts"
Vip Tasty Foods,-,Andhra
Urban Turban,-,"North Indian, Chinese"
New Balaji Family Dhaba,3.9,"North Indian, Chinese, Biryani"
Kiranmai Food Court,-,"South Indian, Andhra"
Mumbaichee Chaat Street,3.4,Street Food
Kulfi Shulfi,-,Desserts
Ariko Cafe,4,"Ice Cream, Desserts, Pizza, Waffle, Tea, Coffee"
Firangi Fried Chicken,3.8,"Fast Food, Biryani"
Sankla Tiffins & Dhaba,-,"Chinese, South Indian, North Indian"
Meer Cafe,3.8,South Indian
Bhavani Tiffins,4,South Indian
Zaheer Juice Center,4.2,"Juices, Beverages, Shake, Desserts, Salad"
Aashu's Juice Bar,4.2,"Beverages, Fast Food, Desserts"
Jai Bhavani Tiffin's & Snacks,3.4,South Indian
Machili.Com,-,Seafood
Bhatthi By Phulkaas,-,"North Indian, Kebab"
Season One Ice Cream,4.3,"Ice Cream, Desserts"
Cakes Club,3.5,"Bakery, Desserts"
RK's Kitchen,3.4,South Indian
Makaan Zaiqa,-,"Hyderabadi, Desserts, Sandwich, Salad"
Eat N Treat,3.8,"Mithai, Street Food"
Dr Cakes,3.2,"Bakery, Desserts"
Shahi Naan,-,North Indian
Combosthalam By Phulkaas,3.8,"North Indian, Chinese"
Pachadis By Phulkaas,-,South Indian
Tasim,3.4,"Chinese, Momos"
